JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457967.93286,10.409,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.45,Z,18.012,18.065,,PDS 110,VVS,STD,,,,
2457967.93322,9.728,0.018,,I,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 10.974  K = 11.366,0,1.45,Z,19.211,19.580,,PDS 110,VVS,STD,,,,
2457967.93350,9.726,0.018,,I,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 10.974  K = 11.366,0,1.44,Z,19.194,19.586,,PDS 110,VVS,STD,,,,
2457968.93166,10.897,0.015,,B,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 12.201  K = 11.955,0,1.44,Z,18.951,18.696,,PDS 110,VVS,STD,,,,
2457968.93204,10.906,0.015,,B,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 12.201  K = 11.955,0,1.43,Z,18.935,18.713,,PDS 110,VVS,STD,,,,
2457968.93245,10.399,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.43,Z,18.000,18.033,,PDS 110,VVS,STD,,,,
2457968.93285,10.416,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.43,Z,17.983,18.025,,PDS 110,VVS,STD,,,,
2457968.93321,9.714,0.019,,I,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 10.974  K = 11.366,0,1.43,Z,19.179,19.542,,PDS 110,VVS,STD,,,,
2457968.93347,9.709,0.020,,I,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 10.974  K = 11.366,0,1.42,Z,19.177,19.573,,PDS 110,VVS,STD,,,,
2457969.93095,10.919,0.014,,B,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 12.201  K = 11.955,0,1.42,Z,18.929,18.728,,PDS 110,VVS,STD,,,,
2457969.93133,10.912,0.014,,B,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 12.201  K = 11.955,0,1.42,Z,18.951,18.720,,PDS 110,VVS,STD,,,,
2457969.93175,10.410,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.42,Z,18.000,18.052,,PDS 110,VVS,STD,,,,
2457969.93213,10.400,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.41,Z,18.022,18.050,,PDS 110,VVS,STD,,,,
2457969.93249,9.740,0.018,,I,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 10.974  K = 11.366,0,1.41,Z,19.186,19.579,,PDS 110,VVS,STD,,,,
2457969.93277,9.734,0.019,,I,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 10.974  K = 11.366,0,1.41,Z,19.186,19.585,,PDS 110,VVS,STD,,,,
2457970.33253,10.966,0.008,,B,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.874|VERR=0.008|CREFMAG=12.579|CREFERR=0.050|KREFMAG=12.953|KREFERR=0.048|VX=1.4719|CX=1.4698|KX=1.4734|TB_BV=0.0210|TB_BVERR=0.0340|TAVER=2.49,1,1.472,Z,11.486,11.929,,PDS 110,AAVSO,STD,101,,,
2457970.33277,10.938,0.011,,B,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.842|VERR=0.011|CREFMAG=12.579|CREFERR=0.050|KREFMAG=12.953|KREFERR=0.048|VX=1.4702|CX=1.4681|KX=1.4717|TB_BV=0.0210|TB_BVERR=0.0340|TAVER=2.49,1,1.471,Z,11.481,11.926,,PDS 110,AAVSO,STD,102,,,
2457970.33327,10.441,0.005,,V,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.175|VERR=0.005|CREFMAG=11.995|CREFERR=0.014|KREFMAG=12.299|KREFERR=0.015|VX=1.4666|CX=1.4645|KX=1.4681|TV_BV=-0.0170|TV_BVERR=0.0330|TAVER=2.49,1,1.467,Z,10.730,11.078,,PDS 110,AAVSO,STD,101,,,
2457970.33351,10.427,0.006,,V,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.148|VERR=0.006|CREFMAG=11.995|CREFERR=0.014|KREFMAG=12.299|KREFERR=0.015|VX=1.4649|CX=1.4628|KX=1.4664|TV_BV=-0.0170|TV_BVERR=0.0330|TAVER=2.49,1,1.465,Z,10.717,11.058,,PDS 110,AAVSO,STD,102,,,
2457970.33407,9.828,0.007,,I,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.645|VERR=0.007|CREFMAG=11.291|CREFERR=0.037|KREFMAG=11.566|KREFERR=0.040|VX=1.4609|CX=1.4589|KX=1.4624|TI_VI=-0.0080|TI_VIERR=0.0220|TAVER=2.49,1,1.461,Z,11.109,11.410,,PDS 110,AAVSO,STD,101,,,
2457970.33432,9.815,0.010,,I,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.649|VERR=0.010|CREFMAG=11.291|CREFERR=0.037|KREFMAG=11.566|KREFERR=0.040|VX=1.4592|CX=1.4572|KX=1.4607|TI_VI=-0.0080|TI_VIERR=0.0220|TAVER=2.49,1,1.460,Z,11.126,11.409,,PDS 110,AAVSO,STD,102,,,
2457970.33489,10.118,0.005,,R,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=8.918|VERR=0.005|CREFMAG=11.632|CREFERR=0.028|KREFMAG=11.921|KREFERR=0.030|VX=1.4552|CX=1.4532|KX=1.4567|TR_VI=-0.0150|TR_VIERR=0.0140|TAVER=2.49,1,1.456,Z,10.433,10.730,,PDS 110,AAVSO,STD,101,,,
2457970.33514,10.108,0.006,,R,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=8.968|VERR=0.006|CREFMAG=11.632|CREFERR=0.028|KREFMAG=11.921|KREFERR=0.030|VX=1.4534|CX=1.4515|KX=1.4549|TR_VI=-0.0150|TR_VIERR=0.0140|TAVER=2.49,1,1.454,Z,10.493,10.789,,PDS 110,AAVSO,STD,102,,,
2457970.725041,11.005,0.080,,B,HKEB,,ENSEMBLE,000-BMH-802,19502BDM,PDS 110,1,2.626,Z,,12.566,,PDS 110,AAVSO,STD,,,,
2457970.725891,10.190,0.058,,R,HKEB,,ENSEMBLE,000-BMH-802,19502BDM,PDS 110,1,2.597,Z,,11.687,,PDS 110,AAVSO,STD,,,,
2457970.726684,10.426,0.091,,V,HKEB,,ENSEMBLE,000-BMH-802,19502BDM,PDS 110,1,2.571,Z,,11.988,,PDS 110,AAVSO,STD,,,,
2457970.93095,10.934,0.013,,B,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 12.201  K = 11.955,0,1.40,Z,18.948,18.718,,PDS 110,VVS,STD,,,,
2457970.93133,10.927,0.015,,B,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 12.201  K = 11.955,0,1.40,Z,18.974,18.758,,PDS 110,VVS,STD,,,,
2457970.93175,10.417,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.40,Z,18.041,18.075,,PDS 110,VVS,STD,,,,
2457970.93213,10.416,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.39,Z,18.019,18.063,,PDS 110,VVS,STD,,,,
