JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457875.45731,10.456,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.88,Z,18.032,18.078,,PDS 110,VVS,STD,,,,
2457876.45677,10.422,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.92,Z,18.103,18.155,,PDS 110,VVS,STD,,,,
2457876.45715,10.438,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.93,Z,18.110,18.180,,PDS 110,VVS,STD,,,,
2457877.45612,10.437,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.96,Z,18.102,18.170,,PDS 110,VVS,STD,,,,
2457877.45652,10.418,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.96,Z,18.088,18.124,,PDS 110,VVS,STD,,,,
2457878.45541,10.430,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.00,Z,18.100,18.157,,PDS 110,VVS,STD,,,,
2457878.45580,10.437,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.00,Z,18.085,18.153,,PDS 110,VVS,STD,,,,
2457879.45498,10.429,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.04,Z,18.082,18.139,,PDS 110,VVS,STD,,,,
2457879.45536,10.420,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.05,Z,18.086,18.139,,PDS 110,VVS,STD,,,,
2457880.45508,10.450,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.10,Z,18.073,18.122,,PDS 110,VVS,STD,,,,
2457880.45546,10.466,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.11,Z,18.060,18.130,,PDS 110,VVS,STD,,,,
2457881.45454,10.446,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.15,Z,18.061,18.133,,PDS 110,VVS,STD,,,,
2457881.45492,10.429,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.16,Z,18.070,18.107,,PDS 110,VVS,STD,,,,
2457882.45446,10.449,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.21,Z,18.077,18.156,,PDS 110,VVS,STD,,,,
2457882.45484,10.393,0.009,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.22,Z,18.123,18.101,,PDS 110,VVS,STD,,,,
2457883.45439,10.483,0.014,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.28,Z,18.782,18.897,,PDS 110,VVS,STD,,,,
2457883.45477,10.462,0.014,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.29,Z,18.619,18.684,,PDS 110,VVS,STD,,,,
2457886.45265,10.440,0.009,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.47,Z,18.192,18.261,,PDS 110,VVS,STD,,,,
2457886.45303,10.443,0.009,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.48,Z,18.194,18.265,,PDS 110,VVS,STD,,,,
2457887.45258,10.406,0.010,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.56,Z,18.277,18.323,,PDS 110,VVS,STD,,,,
2457887.45296,10.439,0.010,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.57,Z,18.239,18.286,,PDS 110,VVS,STD,,,,
2457888.45209,10.463,0.009,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.64,Z,18.130,18.184,,PDS 110,VVS,STD,,,,
2457888.45248,10.439,0.009,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.65,Z,18.157,18.214,,PDS 110,VVS,STD,,,,
2457889.45123,10.430,0.010,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.71,Z,18.197,18.242,,PDS 110,VVS,STD,,,,
2457889.45161,10.426,0.010,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.72,Z,18.203,18.232,,PDS 110,VVS,STD,,,,
2457937.93861,10.379,0.019,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,3.04,Z,18.161,18.165,,PDS 110,VVS,STD,,,,
2457937.93900,10.419,0.020,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,3.02,Z,18.124,18.161,,PDS 110,VVS,STD,,,,
2457938.93855,10.427,0.019,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.91,Z,18.116,18.147,,PDS 110,VVS,STD,,,,
2457938.93894,10.432,0.020,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.89,Z,18.103,18.178,,PDS 110,VVS,STD,,,,
2457949.93296,10.461,0.010,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.13,Z,18.276,18.346,,PDS 110,VVS,STD,,,,
2457949.93336,10.435,0.009,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.12,Z,18.231,18.279,,PDS 110,VVS,STD,,,,
2457950.93299,10.443,0.009,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.07,Z,18.063,18.105,,PDS 110,VVS,STD,,,,
2457950.93337,10.423,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.06,Z,18.070,18.104,,PDS 110,VVS,STD,,,,
